iter	Passed	Remaining
773	2156	629
774	2158	626
775	2160	623
776	2163	620
777	2165	618
778	2168	615
779	2170	612
780	2172	609
781	2175	606
782	2177	603
783	2180	600
784	2182	597
785	2184	594
786	2186	591
787	2188	588
788	2190	585
789	2193	582
790	2195	580
791	2197	577
792	2199	574
793	2202	571
794	2204	568
795	2206	565
796	2209	562
797	2211	559
798	2214	557
799	2216	554
800	2218	551
801	2221	548
802	2224	545
803	2226	542
804	2229	540
805	2231	537
806	2233	534
807	2236	531
808	2238	528
809	2241	525
810	2244	522
811	2246	520
812	2248	517
813	2250	514
814	2253	511
815	2255	508
816	2257	505
817	2259	502
818	2261	499
819	2264	497
820	2266	494
821	2268	491
822	2271	488
823	2273	485
824	2275	482
825	2278	479
826	2280	477
827	2282	474
828	2285	471
829	2287	468
830	2289	465
831	2291	462
832	2294	459
833	2296	457
834	2298	454
835	2300	451
836	2302	448
837	2305	445
838	2307	442
839	2309	439
840	2312	437
841	2314	434
842	2316	431
843	2319	428
844	2321	425
845	2323	422
846	2325	420
847	2328	417
848	2331	414
849	2334	411
850	2336	409
851	2338	406
852	2342	403
853	2344	400
854	2346	398
855	2349	395
856	2351	392
857	2353	389
858	2356	386
859	2359	384
860	2361	381
861	2364	378
862	2366	375
863	2370	373
864	2374	370
865	2376	367
866	2378	364
867	2381	362
868	2383	359
869	2385	356
870	2388	353
871	2390	350
872	2392	348
873	2395	345
874	2397	342
875	2400	339
876	2403	337
877	2405	334
878	2408	331
879	2410	328
880	2413	325
881	2416	323
882	2418	320
883	2421	317
884	2424	315
885	2426	312
886	2428	309
887	2431	306
888	2433	303
889	2435	301
890	2437	298
891	2439	295
892	2442	292
893	2444	289
894	2447	287
895	2449	284
896	2452	281
897	2454	278
898	2457	276
899	2459	273
900	2461	270
901	2464	267
902	2467	265
903	2469	262
904	2472	259
905	2474	256
906	2476	253
907	2479	251
908	2481	248
909	2484	245
910	2486	242
911	2489	240
912	2491	237
913	2494	234
914	2496	231
915	2499	229
916	2501	226
917	2503	223
918	2506	220
919	2508	218
920	2511	215
921	2514	212
922	2516	209
923	2519	207
924	2521	204
925	2524	201
926	2526	198
927	2529	196
928	2531	193
929	2533	190
930	2536	187
931	2538	185
932	2541	182
933	2543	179
934	2546	176
935	2548	174
936	2550	171
937	2553	168
938	2555	166
939	2558	163
940	2560	160
941	2563	157
942	2565	155
943	2568	152
944	2570	149
945	2572	146
946	2575	144
947	2578	141
948	2580	138
949	2583	135
950	2585	133
951	2588	130
952	2590	127
953	2592	125
954	2595	122
955	2597	119
956	2600	116
957	2603	114
958	2605	111
959	2608	108
960	2611	105
961	2613	103
962	2616	100
963	2618	97
964	2620	95
965	2623	92
966	2625	89
967	2627	86
968	2630	84
969	2632	81
970	2635	78
971	2637	75
972	2640	73
973	2642	70
974	2645	67
975	2647	65
976	2650	62
977	2653	59
978	2655	56
979	2658	54
980	2660	51
981	2663	48
982	2665	46
983	2668	43
984	2671	40
985	2673	37
986	2675	35
987	2678	32
988	2680	29
989	2683	27
990	2685	24
991	2687	21
992	2689	18
993	2693	16
994	2696	13
995	2698	10
996	2701	8
997	2703	5
998	2706	2
999	2708	0
